ID,NumDealsPurchases,AcceptedCmp1,AcceptedCmp2,AcceptedCmp3,AcceptedCmp4,AcceptedCmp5,Response
5524,0.34873830847686393,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,2.3863383621027245
2174,-0.16869955333751413,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
4141,-0.6861374151518922,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
6182,-0.16869955333751413,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
5324,1.38361403210562,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
7446,-0.16869955333751413,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
965,0.8661761702912419,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
6177,-0.16869955333751413,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
4855,-0.6861374151518922,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,2.3863383621027245
5899,-0.6861374151518922,-0.2623616816679757,-0.11661592818028352,3.566201257787191,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
1994,-0.6861374151518922,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
387,-0.6861374151518922,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
2125,-0.6861374151518922,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
8180,0.34873830847686393,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
2569,-0.6861374151518922,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
2114,-0.6861374151518922,3.8115322086764243,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,3.5780538195788045,2.3863383621027245
9736,0.34873830847686393,-0.2623616816679757,-0.11661592818028352,-0.28041042210290024,-0.2841044199080856,-0.27948154232004163,-0.41905205727776557
